M,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4
I,0.27,0.205,0.075,0.118,0.059,0.031,0.0305,4
I,0.185,0.135,0.045,0.032,0.011,0.0065,0.01,4
I,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042,4
I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5
I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5
I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5
I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5
I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5
I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5
I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5
I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5
I,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,5
I,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,5
I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5
I,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,5
I,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5
I,0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,5
F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5
M,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,5
F,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5
M,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,5
M,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,5
M,0.255,0.18,0.065,0.079,0.034,0.014,0.025,5
I,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5
M,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5
I,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,5
I,0.255,0.185,0.06,0.088,0.0365,0.021,0.023,5
I,0.24,0.175,0.055,0.0705,0.025,0.014,0.021,5
I,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5
I,0.305,0.22,0.07,0.141,0.062,0.031,0.037,5
I,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,5
I,0.34,0.25,0.075,0.1785,0.0665,0.0455,0.045,5
I,0.42,0.32,0.115,0.376,0.169,0.092,0.1,5
I,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5
I,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5
I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5
I,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5
I,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5
I,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5
I,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,5
I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5
I,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,5
I,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,5
I,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5
I,0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5
I,0.375,0.29,0.095,0.213,0.096,0.041,0.061,5
I,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5
I,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,5
I,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,5
I,0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053,5
I,0.385,0.3,0.09,0.247,0.1225,0.044,0.0675,5
I,0.395,0.295,0.09,0.3025,0.143,0.0665,0.0765,5
I,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5
I,0.44,0.34,0.105,0.369,0.164,0.08,0.1015,5
I,0.21,0.17,0.045,0.0475,0.019,0.011,0.013,5
I,0.285,0.21,0.055,0.101,0.0415,0.017,0.0335,5
I,0.335,0.255,0.08,0.168,0.079,0.0355,0.05,5
I,0.35,0.26,0.075,0.18,0.09,0.0245,0.055,5
I,0.275,0.175,0.09,0.2315,0.096,0.057,0.0705,5
I,0.185,0.135,0.04,0.027,0.0105,0.0055,0.009,5
I,0.21,0.15,0.055,0.0465,0.017,0.012,0.015,5
I,0.29,0.21,0.07,0.1115,0.048,0.0205,0.03,5
I,0.255,0.19,0.06,0.086,0.04,0.0185,0.025,5
I,0.27,0.195,0.065,0.1065,0.0475,0.0225,0.0285,5
I,0.28,0.215,0.08,0.132,0.072,0.022,0.033,5
I,0.325,0.25,0.055,0.166,0.076,0.051,0.045,5
I,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5
M,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,5
F,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5
I,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,5
I,0.26,0.215,0.08,0.099,0.037,0.0255,0.045,5
F,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,5
M,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,5
M,0.155,0.115,0.025,0.024,0.009,0.005,0.0075,5
I,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027,5
I,0.25,0.18,0.06,0.073,0.028,0.017,0.0225,5
I,0.25,0.185,0.065,0.071,0.027,0.0185,0.0225,5
I,0.285,0.21,0.07,0.109,0.044,0.0265,0.033,5
I,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02,5
I,0.28,0.21,0.055,0.106,0.0415,0.0265,0.031,5
I,0.28,0.22,0.08,0.1315,0.066,0.024,0.03,5
I,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315,5
I,0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,5
I,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,5
I,0.36,0.26,0.08,0.1795,0.074,0.0315,0.06,5
I,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155,5
I,0.375,0.265,0.095,0.196,0.085,0.042,0.0585,5
I,0.32,0.205,0.08,0.181,0.088,0.034,0.0495,5
I,0.37,0.28,0.085,0.198,0.0805,0.0455,0.058,5
I,0.23,0.17,0.05,0.057,0.026,0.013,0.016,5
I,0.29,0.215,0.06,0.1115,0.053,0.0185,0.032,5
I,0.3,0.22,0.065,0.1235,0.059,0.026,0.0315,5
I,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068,5
I,0.18,0.135,0.08,0.033,0.0145,0.007,0.01,5
I,0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185,5
I,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,5
I,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045,5
I,0.3,0.23,0.075,0.15,0.0605,0.042,0.045,5
M,0.275,0.2,0.08,0.099,0.037,0.024,0.03,5
M,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,5
M,0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5
I,0.255,0.19,0.07,0.0815,0.028,0.016,0.031,5
I,0.19,0.13,0.045,0.0265,0.009,0.005,0.009,5
I,0.35,0.265,0.095,0.199,0.073,0.049,0.06,5
I,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,5
I,0.295,0.22,0.085,0.1285,0.0585,0.027,0.0365,5
I,0.3,0.225,0.075,0.1345,0.057,0.028,0.044,5
I,0.3,0.22,0.065,0.1195,0.052,0.0155,0.035,5
I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5
I,0.275,0.205,0.065,0.101,0.041,0.021,0.034,5
I,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,5
I,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,5
I,0.33,0.25,0.075,0.1405,0.056,0.035,0.05,5
I,0.235,0.175,0.08,0.0645,0.0215,0.0175,0.0215,5
I,0.315,0.235,0.08,0.18,0.08,0.045,0.047,5
I,0.27,0.19,0.06,0.099,0.0445,0.017,0.03,5
I,0.245,0.175,0.055,0.0785,0.04,0.018,0.02,5
I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6
I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6
M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6
I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6
I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6
M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,6
I,0.295,0.215,0.085,0.128,0.049,0.034,0.04,6
I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,6
M,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6
I,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,6
I,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6
